RowId,team1,team2,date,name,job,text
0,blackhawks,lightning,2015-06-02,stan bowman,other,well we're very fortunate to have the players that we do here i look back at when this all started sort of signaled when rocky took over the franchise the changes he made gave us some momentum and excitement we had a good year leading into that year but rocky came onboard and sort of changed the whole mentality of the organization he brought john mcdonough onboard from that point on we kind of felt like we were getting closer and closer obviously the season was when we finally broke through those players were the ones that really made this thing go when you get a group like that together young players that show they can win that's what you need in this day and age i think there's a lot of factors it's not just that joel and his staff have done a tremendous job with these guys it's not easy to get to this point and to keep the group together there's a lot of highs and lows there's some tense moments over the year but when you start the season in september this is the point that you're building towards which is getting to the final it's a battle to get here so i certainly commend the players and coaches for the job they've done to put us in this position we got a lot of work left ahead of us here it's a challenge but you look at what our main guys have done to this point not only in this playoff run but in the other ones i think it shows you they're true champions you can't really single one guy out it's a collection of guys that have been with us for a while they've made it a special thing to be part of stan bowman well from where i see it jonathan is incredibly competitive he hates to lose that's probably a common trait for all athletes nobody wants to lose but he's incredibly competitive he just wills his way to it you watch him in practice he gets mad if things don't go his way he has a high standard for himself he holds himself accountable for that reason he is the thing that makes everything go joel is with him on the bench he can comment on that coach quenneville focus and preparation is as good as i've seen in any player the more important the stage the more important the situation he wants to be out there he wants to be successful he'll find a way to make it successful it's an uncanny ability he has that you don't see in too many players it's will competitive warrior leader he's got all the intangibles that you'd like to see in a hockey player stan bowman obviously when you've had a measure of success you want to continue that that's why we play the game is to win it's not easy to do that when we set out years ago we wanted to be a team that continually had a chance to win the cup that's why you get together that's why we play so every year that's our goal there's a lot of factors that go into it like i said ultimately it's the players they're the ones that get on the ice the job our coaching staff has done has been outstanding to prepare these guys and to make the adjustments we've had a lot of continuity in our organization which i think helps if you look back at the organizations that have been able to sustain success they have stability from the top with rocky and john mcdonough all our staff our scouting staff the development group we have they all play a part in this at the end of the day it's the guys that step on the ice that make the difference but there are so many people that are part of it that's what's helped us get to this point stan bowman you're right there's a lot of talk about that all the time but we've been through this before the way i look at it every team is going to have changes going into next year we're not the only ones there's going to be some new players i think there's a lot of ways to look at that if you look at it from a positive you're going to have some new blood you're going to have some guys that weren't part of this this is a great experience for our players for the guys that are new to our team in the future they're going to want to get to this point themselves so you have that new blood in the system going forward it's a challenge the salary cap it's a system we all play under we've been through it before there's changes to be made to every team and we're no different we certainly have expectations that we want to keep this going the main players are going to be back you have to rely on some young guys to step into bigger roles we're seeing that play itself out here over the season players like saad and teravainen young guys that are going to play bigger roles going forward we have some other young players that are going to get opportunities next year as well i think that's not so much the focus for this right now we do get a lot of questions on that but i think we're pretty excited for the game tomorrow night and we're focused on that we'll take care of the other stuff over the summer stan bowman when patrick went down he was probably the best player in the league that was a bit of a blow there but i think we were able to rally around that some other guys stepped up the players we brought in have all contributed in different ways i think when you make moves you're trying to give yourself depth and options you never just say we're getting this one player he's alone going to make the difference things evolve over time whether it's the player's individual play team play injury happenstance guys can emerge in different roles all three of the players we have have been important in getting to this point you can break it down into the nitty‑gritty but certainly i'm happy that we have the depth that we do for me it's giving joel options he's got a great ability to kind of put the right combinations together and make things work that's what the coaches are so good at stan bowman he's seen this team play quite a bit yeah he lives down here in the wintertime he's got a pretty good handle on it he had a firsthand viewing of this team many times he's given us some of his thoughts but i think at this point obviously you've seen what tampa's done they've had a great run it's impressive what they've been able to do to get to this point we're trying to take all the information we can in and prepare ourselves as best we can but ultimately it's going to come down to how we execute tomorrow night coach quenneville still a relatively young player a young stage i don't know if too many players have accomplished what he's accomplished you'd say the future's very bright for him because he's got a lot of hockey left in him it's pretty remarkable the accomplishments because the next accomplishment or the next moment where he's got to try to win he just seems to always be a part of it it's a unique quality that he has he makes people around him better he makes people around him more competitive the way he finds ways to be successful individually and collectively is what probably makes him go better than any player coach quenneville right off the bat you think of the core group they've been around been through some tough ups and downs losing clint this year was part of that process where we had some tough moments i just think that the team finds a way to rely on one another to get through tough moments tough stages tough situations injuries losses we could go on that's the road of trying to make the playoffs the ups and downs of this team we find a way to get back on track quickly that's kind of what the playoffs are all about the best thing about winning the cup is visiting the road and trying to get the cup it's never going to be smooth or easy the great moments are spectacular the tough moments you can get angry from it you can get motivated from it find a way through it but i think the resiliency of this group is as good as you're ever going to be find it can be complimented to our leadership and the guys that have been here for say seven or eight years. after last year we were close we were trying to add to our group one area we want to try to improve upon is our center ice position michal handzus played a big role for us a couple years he was an important player any time you lose a centerman like that you're trying to find that for your team in talking to brad obviously his desire was to play on a strong team have a chance to get back to the final he ended the year in a tough way losing in the final is difficult the discussions really were centered around what we were looking for and how that role was going to fit well with him he's a consummate professional he's obviously played a lot of his career here he had some great moments he's moved on to be an important player in other organizations you saw the ability that he can bring to the table in terms of experience playing in the middle knew he would be playing some talented players however it worked out so that's how the discussion went i think it didn't take too long to convince him that this is an appealing option coach quenneville brad at the start of the year he was fine early on didn't get a ton of ice time didn't get much of a chance to play with kaner we were working more so on systems‑wise the responsibility of a centerman i think he got better with a little bit more ice time got a chance to play with kaner took off looked like there was a little magic there looked like he got more quickness to his game more puck possession i think he got more comfortable in our system he made good improvements over the course of the season that line gave us a dimension offensively and trust defensively which we were looking for i think he's had a real good second part of the season coming into the playoffs he's been real good for us stan bowman yeah i think that's an important attribute it's possibly the most elusive trait to pin down there are certain players that have the ability when the game is on the line to elevate their play and to come through that's the hardest thing to do i think when you look around the league this year you see how close these games are really a lot of times it comes down to just a couple moments within a game certainly during the season that's the case in the playoffs it gets magnified there's certainly more attention given to every shift every game you notice the players that are able to come through in those pressure moments they're the ones that can really make a big difference i'm not quite sure how to explain it or describe it they just have it fortunately we've got a number of guys that can do that they can raise their game in those critical moments we're fortunate to have them on our side that's for sure stan bowman well i mean for most young players it's a process it takes time it's very difficult to just jump into the nhl and be an impact player i mean i suppose toews and kane did that beyond that i think it takes a little bit of a progression an evolution what we try to do with our young players is not rush them to the point where the expectations are unrealistic we try to give these guys a chance when they do make it into the nhl they've had some time to develop their game to gain some confidence usually in the american league so when they get to us that's what joel and the staff have done such a good job of putting these guys in a position where they can succeed we've got a lot of experienced players that can face those tough matchups tough minutes some of the young players can learn the league learn what it's like to be in the nhl for a year it's not easy the schedule the travel the different buildings you go into i mean you have to experience all that so you sort of get that out of the way then you can play hockey if you're trying to experience all that for the first time and be a primary player on your team that's a lot for a young guy to do so i think our coaches have done a good job of working these guys in and giving them the chance to grow that's what we're hoping to do going forward you need young players to succeed in this day and age but it's hard to throw them into the fire in big roles right away i think fortunately we've got some veteran guys that can absorb those tough minutes and let the young guys sort of work their way in
1,blackhawks,lightning,2015-06-02,steve yzerman,other,no we didn't really set a timeline on it i wouldn't want to put myself in that position because i'd be held to it we just felt at the time we're going to try to draft well look to free agency where we can to try to expedite the process a little bit but i honestly had no time even if you asked me last september i hoped to but it certainly wasn't necessarily planned that way there was no timeline at all we were going to go through this process and hopefully get there sooner than later steve yzerman when you look back at any team that gets to this point any team that has any kind of long‑term sustained success it's really true home‑grown talent it's just impossible even more so with the salary cap to try to build a team to be successful over a period of time just through free agency and through trades you need the assets to build the team i think al murray and our amateur scouting staff have done a very good job at finding players first of all we're very fortunate to start out with steven stamkos and victor hedman in the fold before we even take the job any of us other people had to go through the pain of getting that first and second overall pick after acquiring these guys when jon was in norfolk and syracuse stacy roest who runs our player development works with these young kids rob zettler now they've been very patient allowing them to develop on the ice grow up a little bit off the ice physically mentally mature we've been lucky truthfully some of the guys nikita kucherov ondrej palat drafted no necessarily in the first round you hear that a lot if we would have known ondrej was going to be that good we wouldn't have waited till the seventh round to get him steve yzerman when i took the position here in tampa it was important for me to have someone on my staff that really knew the tba well his legal background his contract negotiation experience through salary arbitration then with the canadiens organization he had all the experience and the background of things that i personally lacked he's an incredibly hard worker real professional guy fun to be around his importance to me is immeasurable he's done a great job won in norfolk now building our team in syracuse creating a really good environment for our young guys to develop coach cooper you want to answer this you were doing pretty well laughter the one thing about this group we just found out more about ourselves as every round has gone on i think it's going back two years i think when stammer went down we really had to find out about ourselves players were put in positions especially jonathan and palat killorn that they necessarily didn't thing they'd be in that early in their careers all the kind of trials and tribulations we went through last year eventually with the first‑round sweep it's easy to look back now that we're in the cup final but when we were feeling really really good about ourselves in the middle of april six days later it wasn't so good we went into the summer with the sting of what had happened i think it fueled us this year we've had a history of not going into these long losing streaks because of the attitude that's in that room it's been pretty cool to watch them as the series has gone on if i'm honest the detroit series when we were staring that ‑ deficit in the face it was oh wow this is going to happen to us again you could just see the attitude of the players coach don't worry about this one we've got this and they did that was led by ultimately ben bishop every round has given us a different challenge to go up three games in a round then give it up then have to win that to have a chance to win at home against the presidents cup champs blow that then have to go up and win in an environment that nobody's really won before every time there's been that little bit of adversity we feel like we're down and out they come back with a knock‑out punch but that started two years ago and the attitude has not changed steve yzerman honestly i wasn't all that patient again there's no quick fixes no real solutions you kind of just stick with the process really trying our best to hang on to your draft picks try to make good choices then give them time to develop it's really what we're trying to do you're always constantly looking at different ways to expedite the process whether it be through a trade free agency whatnot again i go back to having stamkos victor hedman two young players to build around then you're getting a sense we have tyler johnson ondrej palat these players might be pretty good players in the nhl kucherov down the line hoping to get him into here to play we have to be patient it's not like i could go out to free agency pluck out a couple good wingers defensemen they're just not out there i don't think there's any other way than to be patient and allow your young guys to develop allow your scouts to do their job and coop in the american league work with these players i didn't know any other way fortunately with jeff vinik tod leiweke understood we know what's going on we'll be patient with this group we'll get there at some point again i don't think there's any other way to do it coach cooper well in my brief two years in the league it's weird because i've been through three captains i watched the progression a very short time with vinny when he was here i finished out the end of the year the captain takes the leadership there's other leaders in the room hockey is such a respectful game we had marty st louis waiting in the wings but he didn't really step up to be a leader until after vinny was gone you could see that stammer had those leadership qualities but they don't want to step on those other guys' toes they're there as a supporting group but ultimately the captain is there to do his job and these guys are there to help when marty departed it was stammer's turn to take over he went through process of watching the leaders ahead of him the one difference where stammer has evolved he's understood that i think there's a lot of situations where he's had to carry the load of the team if stammer doesn't score tampa is done really in this last year and a half with our group anyway he's understood that we need other guys to step up it just can't be stammer to do this all the time if the team is going to have success he's almost opened the door for johnny palat killorn fil all those guys to have success he's really pushed the team ahead of himself i think ultimately that's what a leader does he doesn't think of himself he just thinks of everybody else around him for a guy that scored a lot of goals has done a lot of unbelievable things in this league stammer pushed everybody ahead of himself i think you've watched his playoff progression especially early on when he was getting hammered when he wasn't scoring in the detroit series but nobody talked about how he was playing defensively or how he was winning faceoffs how he was doing this he accepted different roles with the team ultimately that is the ultimate sacrifice you're saying okay i'll do this this and this for our team to win he never complained about this just know this is part of the process how it works that's what makes him a great leader steve yzerman well i hope that's true i'm not sure that it is but i hope it's true steve yzerman we're trying to run a real good program we're trying to bring in obviously very good players but guys with real good character that want to be a part of a winning program to be pushed to be challenged i think number one have to convince agents players everyone that hey they're for real down there they run a really good program it's somewhere we can be successful ultimately sell the perks of no state taxes nice warm winters things like that to push us over the top ultimately players they want to be successful they want to go to an environment where they can be successful play somewhere they enjoy obviously make as much money as they can they take all those things into account ultimately you have to run a good program guys aren't going to want to go there if you don't have a good program we're fortunate the biggest reason i think we signed anton stralman i shouldn't put words in his mouth we had a huge glaring hole in our lineup we needed a right‑hand shot defenseman we have a pretty competitive team a player like that can make a real difference and he has in the first year number one they look at the opportunity i think that was the biggest reason as all these spots on our roster get filled up it will be more difficult for us to convince a guy to come they're looking at where am i going to play who am i going to play with it gets a little bit more specific again we have to run a good program we're serious about playing here if you want to come down here you better be ready to win those are the types of players we're looking for coach cooper i think it's a little bit of a mental makeup of your team we've had a little bit of a rollercoaster ride in a lot of our series i've said this before we're kind of learning on the job but that's where you find out about your players when people sit here and say ben bishop has given up five goals in back‑to‑back nights what does ben go out and do he pitches shutouts when games get big our guys have seemed to risen to the occasion we can sit here and say we made this adjustment you know when our adjustments were made regular season is an dress rehearsal for the playoffs you have to have your team ready to go when that happens you make little tweaks here and there what this team has done they bought in believed now it's when you get tested can those guys rise to the occasion when they get tested they've passed every test it gives your coach an ulcer when they're doing it but ultimately they found a way it's been just a blast to be a part of this watch the transformation watch our leadership evolve watch guys come out of their shells if i look back and talk about how many guys said ben bishop didn't have any playoff experience when he came in and now what people are saying about him what they're going to say about johnson palat killorn kucherov brown all these guys down the list two months later they're kind of writing their own history it goes to a testament of their character what they are as people the job steve has done to bring these guys in it kind of fits the mold of the type of player we're looking ultimately that's the adjustment that's been made coach cooper well i'll tell you i remember the first year in the american league we had kind of a veteran‑laden team guys were all over the place me personally i was trying to find out about pro hockey i was coming from junior where we practiced in the afternoon the funniest things you learn when you're going to pro but our second year that's when we got the influx of young guys my thought was palat was in his over‑age year the decision was are we going to send him back to junior east coast league or keep him with us much to our philosophy let's just keep the young guys and see what we can do with them see if we can develop them they ultimately were pretty quick‑skilled players we had richard panik at the time we kind of put those three guys together we'll leave our vets together ultimately some of the vets they wanted to have vets on their line instead of these young guys and we just put the young guys together and committed to playing them as it turned out they went from rookies to stars on our team in a short time but it was all a learning process a lot of that was through our veteran leadership group that we had there the mike angelidises guys of that nature that helped these guys along for me i had a ton of confidence in these young guys maybe it was because i was a rookie myself as a pro i had this group of guys that were all rookies themselves we just made this commitment to come up together did i ever foresee i was going to be coaching in the national hockey league coaching the tampa bay lightning i probably couldn't have predicted that but i will sit here and say i owe a lot of my success to that to have had the opportunity to coach those guys in the minors bring them all up at the same time last year i think it worked in two ways for them they weren't being brought up one at a time playing eight minutes a night having one bad shift then maybe not having the trust of the coach they got to all come up we'd been together so they knew my expectations and standards in the organization they got to fail before they could succeed i was okay with it because i know they passed that test in the american league and i had full confidence they could do it in the national league it was kind of weird i had to earn the veterans' trust that's what took last year how things evolved with our roster i guess the long‑winded answer to your question is i'm not here without them and potentially they're not here as fast without myself they'd be here but not as fast without myself steve has believed in us from the beginning this is what you have steve yzerman well we wore no the reality is jonathan is bigger stronger better he just is just a tremendous all‑around player great person i got to meet him for the first time at the world championships in in moscow he played for us right out of north dakota he fit on the team was one of our best players over the course of my career my player whatever evolved and became through scotty bowman i guess the way he wanted our team to play all of us became kind of more defensive‑minded players more well‑rounded players jonathan has been that since day one since he came in the league he's a complete hockey player again he's bigger stronger than me i'm not sure i could even take him in a race either he's probably faster just a better hockey player steve yzerman when coop talked about it earlier just the evolution the maturity the natural progression as a player coming in as a young guy being respectful to the veteran players deferring to the veteran guys as the leaders the guys who controlled the atmosphere of the team he's been here seven years longer than any other play victor is six now they're starting to become the veterans of our team all the things he's gone through in his career to date as far as a young guy coming into the league developing as a scorer our team getting better doing whatever you need to do to win going through the injuries he suffered last year coming back from that getting to this point here today with these younger guys coming in being willing to do whatever he needs to do to help the team win he's just really evolved he's gone from a young guy playing in the league to now he's years old he's a man a young man but he's been through a lot he's a leader on our team his playoff experiences are really important we mentioned jonathan earlier you grow up quicker unfortunately we haven't been as strong as chicago over the last seven years now stammer is getting an opportunity to be in these situations and do what's necessary he's a really good character person wants to do the right things in all situations you get a chance to talk to him he's evolving as a player evolving as a person evolving as a leader on our team he's doing whatever he has to do to win i read a quote of his the other day he's having the time of his life it's all about winning he's kind of set the tone for that our captain our best player this is what we're about everybody falls into line with that coach cooper to be honest if i was going to compare players kuch would be a little bit more along the lines of what kane is the puck follows those guys around it's like they've got velcro on their stick no chance of getting it all of a sudden they have it they have that ability when they're in the scoring area that a puck can go in at any time johnson's a little bit more north south type player where kuch and kane i would say are east west they have more vision over the ice they're all pretty fast players but johnson has this explosive quickness to him the other guys have it but in a different way but they're all special players you don't advance this far without having game‑breakers as we've watched in these playoffs all three of those guys are game‑breakers when they're on the ice whether the score is ‑ or ‑ they have the ability to change a game in their one shift both teams are fortunate enough to have those guys steve yzerman knowing both players they're different personalities they have a couple things really in common they're really good people very high‑character guys they're both pretty humble they're confident but humble guys there's some comparison there they're different types of players really for stammer as a leader again i haven't had too many conversations about changing the way he plays we want him to be successful you know do what you do the reality is we've talked about this since i've been here your best players have to be good in all facets of the game we want our top guys out there in the last two minutes defending a one‑goal lead we want them out there when we're behind to score that goal it's about working on all the different parts of your game to make sure we want our best players on the ice every opportunity we can stammer has really figured a lot of it out along the way here before this playoffs my only real message to him was we saw what we went through in four games last year we kind of got smacked in the face right off the bat before we knew it we were out our coaching staff and players have done a really good job as hey whatever gets thrown at us we'll sort it out come back and figure it out through three rounds they've been able to figure it out that's not only the coaches but the players in the room especially the captain coop mentioned about going into detroit falling behind ‑ going back to new york the players have been pretty confident pretty calm once they've gotten out on the ice for those games you look back early in the first period you could say they look pretty good out there they have a chance to win this i would attribute that in particular to stammer but all our leaders steve yzerman i mean we want to win the emotion after a win or after a loss is exactly the same as a player you know what you get in playoff mode you're eating sleeping playing hockey the game ends you wake up the next morning whether you're happy disgusted whatever it is you get ready for the next game really my role right now is make sure lunch is ready for the guys coach cooper i had a way better answer for that laughter steve yzerman i'm just here for support really really after the trade deadline as a general manager you make sure you're there for support and help out wherever you can much like a fan or a parent or whatever it's hard to watch because you really don't have a lot of impact on a day‑to‑day basis stay out of the coaches' and players' way again the emotion of winning and losing i think it's pretty much similar i'm years old i can't live in the past i enjoy this role
2,blackhawks,lightning,2015-06-03,antoine vermette,player,that's a good question i don't recall specific moment really with that being said i played against them quite a bit knowing that there's a lot of pride in this room a lot of character they're going to keep battling no matter what something nice to be on that side antoine vermette i think that was a great illustration on that goal with the way we try to play try to establish our speed and moving our feet especially in their end i think on that play it was great work teuvo kept it working hard create a turnover and we got the puck in the slot
3,blackhawks,lightning,2015-06-03,joel quenneville,coach,yeah we got better as the game went on i thought our second period improved after the first we had a slow start in the third a lot of zone time threats off the rush as well obviously a huge goal with traffic nice shot by vermy turned out to be a great third period coach quenneville i thought he got better like our team did as the game went on couple of plays made a play at the net he scored some goals in this playoff as they progressed by just putting it at the net he has the shoot‑first mentality he's got a decent shot pretty good looks getting that net front presence by krugs he was the one that forced the play to vermy on the goal so it was a couple real nice plays by a guy that has a nice upside coach quenneville day‑to‑day upper body i think he's close we'll see how he is the next day or so coach quenneville last half of the game i thought we were fine playing catch‑up against a team that was comparable the last two series when they get the lead on you prevent defense tough to get through they check well got good sticks they got quickness basically we had to get through but finding a way today is a good illustration of what this team's all about finding ways to win probably a good example of that tonight coach quenneville there's a protocol in the league as far as head blows we'll call them concussions but i don't think it was a concussion there's certain measures that we have to follow coach quenneville absolutely coach quenneville thank you. yeah very likely coach quenneville not playing today but he's real close we asked could he play today he's sitting there he's that close we expect a very good chance he's going to be in the series coach quenneville i think when we acquired him we knew he was depth he hadn't played in a while he got to play regularly for us his minutes obviously weren't very high i thought he gave us a steady influence there down the stretch i think in the playoffs as well we feel on the back end his minutes as we went along here were okay an opportunity in game we made a change the results were good i think that's part of the decision where we're at today not easy for him but he's a great pro i think he wants to play wants to play more very understandable coach quenneville we saw firsthand what he was able to do when he came into training camp surprised us all how well he played how effective and efficient he is we've been skating him in practice every day one of his strengths is his reads positionally aware decision making with the puck he's got a lot of attributes that can help our team i think he came onto the scene rather fast for us i think we have a lot of confidence and trust in him coach quenneville tough to forecast long‑term on that last two games they were so good together it's tough to get them apart now we'll see how the game goes matchup‑wise certainly have some balance if you get them apart together pretty dynamic the last two games we'll visit that how the games are going how the matchup is coach quenneville overthink it would be breaking them up is that what you're saying laughter we'll see coach quenneville they've been great as good as any line that's been all year pretty quick dangerous off the rush a lot of trickery movement anticipation between the three i think that's a primary concern going in you got to be aware of stamkos and his line as well but i think their rush game is something you have to contend with that line particularly leads the charge coach quenneville couple games there where we scored a couple goals very timely goals i think it helped our power play in those games coming off the last game where he had good play‑making decisions at the point some tight areas sustained it things materialized he's got some good opportunities with toews kaner shawsy dunks you have options on a need basis we made a change and it clicked immediately coach quenneville we'll see if it turns into a three‑line game or four‑line game that is something you keep your eye on are aware of i still think the strength of our team is our depth and the four‑line rotation is what we look for your top guys generally get more ice time anyways but you know he's probably going to be double shifting a guy or two keeping a four‑line rotation but we'll see on that
4,blackhawks,lightning,2015-06-03,jon cooper,coach,i don't know i think the way i'd look at the game we didn't really give them much the entire game if we're going to sit here and count yeah did they have a little more puck possession in the third period they did there's no question could we have made a few more poised plays i suppose we could have but i thought we had chances to put them away we didn't put them away once you do that to me that was letting them hang around and ultimately in the end you know teravainen is a seeing‑eye single on that one that goal had eyes give them credit i think we could have got that puck out we didn't then we turned pucks over on that second one i thought we hung in there sometimes you got to get more than one if you're going to give up two in a game you should have a chance at least to win that game we didn't tonight coach cooper well a lot of our game plan was we wanted to pressure them pressure their d pressure their forwards not give them time and space which i thought we did an extremely good job of as the third period unfolded a little bit it was very similar to how we played the rangers the other night except we were a little bit more playing them down ice where tonight in the third period we played almost a half ice game against a team like chicago you can't let them keep coming at you the way we did but in saying that i mean reel off the grade as they had you know what i mean it's not like we're sitting there saying oh my god did they have chance after chance after chance they had a little bit of time of possession but they weren't getting good‑time chances vermette's is a chance no question sometimes we've been that team that's bent a little but we haven't broken tonight a good team found a way to get two goals could we sit here and say we're going to hem the chicago blackhawks in for straight minutes kind of hard to do nobody's found a way to do it yet i thought we generated some scoring chances both goalies played well they just happened to get the extra one coach cooper it's funny because he missed the one in the first shift that he should have had then scored that one he's working for his breaks he generated one there i thought it was much deserved because he had one whale of a playoffs for us but you got to get more than one that was all we got tonight coach cooper if i pull up the score sheet you don't see kane or toews or any of those guys on it ceddy cally killer or brown on them i thought they did a heck of a job you can't ask for much more than that they're world‑class players you know you can't keep them down forever but if we can have a defensive effort like that it's really going to help our chances coach cooper thank you. you're supposed to ask those questions in game not game i grew up on the west coast i did have a little infatuation for the raiders when i was much younger they won all the time when you're out there the limited tv stations we got you got seahawk games or raiders games ken stabler was my boy loved him fred biletnikoff i could go down the list lester hayes but they were winners i liked watching teams that won coach cooper it's hard to say we haven't played them yet last time we played them was in february joel changes lines quite a bit as well we'll just have to see how things go how things start i can't predict what he's going to do i'm fairly certain the lineup he starts with won't be the lineup he finishes with he'll move things around especially teams that haven't played teams that often eastern conference western conference you play each other twice a year i don't think they get fired up to play the tampa bay lightning the way they get fired up to play the st louis blues in the regular season it's different now we'll have to see how it plays out tonight we'll get a feel for each other tonight when it starts coach cooper we talked about that he jumps right into video games laughter no it was good same thing i've done every night before a game but it's hard to explain because we've been going through this process for a month and a half now just to look at this room at each round has grown it's been pretty cool we're also getting used to it having everybody around here i'm human so you get excited nervous whatever the energy is you have before a series but when the playoffs open it's new it's fresh the playoffs are here everybody is going you get as far as we are now it's unbelievably exciting to be a part of especially going through what we did yesterday it was a pretty cool experience we're used to this now a little bit so you've got into routines of what you're supposed to do the nights before what we're supposed to do of course you lean on the things you did the night before you won games as opposed to when you lose i can't reveal everything i do coach cooper it's hard to explain because we won games at home we got a little bit maligned for being the team entering the playoffs with the worst road record as it turns out if it wasn't for our road play i wouldn't be sitting here right now i think with our team i don't know if we take more of a workmanlike approach to these road games we understand zero‑zero is fine for us even when we're in the third we'll take the chances with our group you give us a scoring chance we have a pretty good chance of putting it in the back of the net but i think sometimes at home especially against the rangers we fell behind early we just tried to chase the game do we get caught up in our atmosphere the crowd everything that's going on we might we've been a pretty i don't know free‑wheeling group per se when we've been at home we've had a lot of success when you're not scoring as much as you'd like or you're giving up as many as we were it gets frustrating then we press too much i think our road game has been much more patient if we're going to have success we're going to have to do us or chicago will light us up coach cooper well i mean there's a ton of things that go into this whether it be matchups getting some of your best players out there more of your forward group guys penalties come into play the other night when coburn was sick there's so many things it becomes much more of an issue when you lose a defenseman than a forward for us we just get to moved guys around a little bit more we give you different looks some of the defensemen we've played 'six or seven defensemen' they've given us really good minutes as opposed to maybe what the forward would give it's just a different look we've been comfortable with it i've been comfortable with it in my coaching career it doesn't always work but it's having a pretty good run here in the playoffs coach cooper well that's a pretty exceptional group those two guys but matchup‑wise it's not always what forward group you have against them it's your d pair i look back at some of these series we've played with brassard's line and stepan's line those were two very solid lines we felt we had three lines we could play against them you look at the montréal series pacioretty was on the ice we felt we had a couple lines that could play against them detroit the same thing zetterberg and datsyuk every team has good players you have to challenge yourself to be better we're sitting here in the stanley cup final i've taken on as well as our team as taken on sometimes we got to be best on best you're not going to pull a rabbit out of your hat and say we have some magic scheme just be better than the next guy that's what you have to do you have to challenge yourself and jonathan toews and patrick kane are two of the best players this league has seen in a long time but we feel steven stamkos tyler johnson ondrej palat we go down our list and think maybe we're not too bad ourselves let's prove to everybody you can play against these guys in saying that they'll probably see a high dose of victor hedman and anton stralman laughter coach cooper oh gosh those are ones you have to give me beforehand i think my parents still have the dryer downstairs where i used to shoot the puck the dryers that open up i think my mom still has that dryer plus years later that's where it all started was in that little basement prince george
5,blackhawks,lightning,2015-06-04,brian boyle,player,i don't think we gave up too many grade as it wasn't necessarily like an onslaught of chances against certainly wasn't the way we wanted to play though it wasn't the possession game the forechecking we wanted i think it was a little too cautious we're here for a reason i think we're a really good team we need to be able to understand that we can lock it down by playing our game skating forward forechecking taking the puck out of their hands they're a really good team too if you give them too much time and space they can hurt you that being said we didn't give up necessarily too too much kind of a seeing‑eye shot and one off a forecheck where they made a pretty good player we want to try to get to our strengths using our speed and skating create opportunities for ourselves i think that's a good way to play d when we have the puck in their end it's hard to score brian boyle it's definitely disappointing you wake up in the morning today you should be a little angry a little pissed off that we had a chance to take game again it's just game but it was a good opportunity for us to start the series the way we wanted to obviously you can't change it out but understanding we shouldn't have any regrets in the morning when you wake up we might today because there are things we could have done a little bit better that were in our control that we didn't do however the series plays out you don't want to look back saying we were a little bit passive there if you want to make a mistake do it being aggressive have that confidence that got us here we're a really good team we have a number of guys that have had great years throughout starts with bish our d core right on through we have guys all year long even now tough to get in the lineup with some of them we got depth a great team we need to understand we got to play our system and play it aggressively knowing that you can't wake up in the morning having some regrets that we were a little too passive jason garrison yeah i mean obviously they have some players out there guys that can put the puck in the net for us we just wanted to make sure that we kept them to the outside and pressured them when we could i thought our penalty kill did a really good job of that not letting them set up too much in zone it paid off i think not allowing them too much on the power plays that's pretty good for us jason garrison yeah i mean it's not the third period we wanted to have with the lead going in like he said we have to stay aggressive we have to stick to our game plan probably spent a little bit too much time in the defensive zone just have to make better plays with the puck at certain times still establish a strong forechecking game that's when we're at our best when we're cycling the puck making the d men turn forwards do a good job of putting pressure on them then we can come in waves brian boyle you take goals when you can get them i don't care who puts it in going into a game you want to contribute however you can whatever situation you're put in taking a lot of d‑zone draws killing a penalty you have to do a good job with that if you're put in an offensive situation even if it's one offensive zone draw the second period you want to try to create some offense create at least some momentum yeah i mean i know i got one goal and i'd certainly like a lot more than that but you got to kind of play the game as it plays out in front of you it's something that we want to get more production but we're in the cup final right now we're getting enough production so far from everybody i think jason garrison yeah i mean obviously it was a good test for us don't see them too much during the year they're a team that's proven to win in the past i thought we did a really good job of playing our game and our game seemed to work it was only unfortunately that a couple shifts in the third period the puck found the back of our net we can learn from a couple things but for the most part we're going to stick to the same game plan we had from game brian boyle did a great job we got a number of guys our whole team really if you can't defend you're not going to play really so it's been preached throughout there's obviously guys that can put up some points fil 's line johnny's line they've produced offensively for us but they have been put into huge spots huge situations offensively as well ceddy cally brown any last night you know that's a tall ask against some good players they've done a great job i think our d have done a great job too that's important as well everybody needs to kind of be on the same page i think you limit them to as few chances and opportunities as they had it was a great effort out of them frees up the top two lines to go out and play try and create we're going to need that going forward for sure
